Date,Tsunami,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Aviation_Color_Code,Volcano_Alert_Level
1327363200,0,2,1,0,2,2,2
1327449600,0,2,1,0,2,2,2
1327536000,0,2,1,0,2,2,2
1327622400,0,2,1,0,2,2,2
1327708800,0,2,1,0,2,2,2
1327795200,0,2,1,0,2,2,2
1327881600,0,2,1,0,2,2,2
1327968000,0,2,1,0,2,2,2
1328054400,0,2,1,0,2,2,2
1328140800,0,2,1,0,2,2,2
1328227200,0,2,1,0,2,2,2
1328313600,0,2,1,0,2,2,2
1328400000,0,2,1,0,2,2,2
1328486400,0,2,1,0,2,2,2
1328572800,0,2,1,0,2,2,2
1328659200,0,2,1,0,2,2,2
1328745600,0,2,1,0,2,2,2
1328832000,0,2,1,0,2,2,2
1328918400,0,2,1,0,2,2,2
1329004800,0,2,1,0,2,2,2
1329091200,0,2,1,0,2,2,2
1329177600,0,2,1,0,2,2,2
1329264000,0,2,1,0,2,2,2
1329350400,0,2,1,0,2,2,2
1329436800,0,2,1,0,2,2,2
1329523200,0,2,1,0,2,2,2
1329609600,0,2,1,0,2,2,2
1329696000,0,2,1,0,2,2,2
1329782400,0,2,1,0,2,2,2
1329868800,0,2,1,0,2,2,2
1329955200,0,2,1,0,2,2,2
1330041600,0,2,1,0,2,2,2
1330128000,0,2,1,0,2,2,2
1330214400,0,2,1,0,2,2,2
1330300800,0,2,1,0,2,2,2
1330387200,0,2,1,0,2,2,2
1330560000,0,2,1,0,2,2,2
1330646400,0,2,1,0,2,2,2
1330732800,0,2,1,0,2,2,2
1330819200,0,2,1,0,2,2,2
1330905600,0,2,1,0,2,2,2
1330992000,0,2,1,0,2,2,2
1331078400,0,2,1,0,2,2,2
1331164800,0,2,1,0,2,2,2
1331251200,0,2,1,0,2,2,2
1331337600,0,2,1,0,2,2,2
1331424000,0,2,1,0,2,2,2
1331510400,0,2,1,0,2,2,2
1331596800,0,2,1,0,2,2,2
1331683200,0,2,1,0,2,2,2
1331769600,0,2,1,0,2,2,2
1331856000,0,2,1,0,2,2,2
1331942400,0,2,1,0,2,2,2
1332028800,0,2,1,0,2,2,2
1332115200,0,2,1,0,2,2,2
1332201600,0,2,1,0,2,2,2
1332288000,0,2,1,0,2,2,2
1332374400,0,2,1,0,2,2,2
1332460800,0,2,1,0,2,2,2
1332547200,0,2,1,0,2,2,2
1332633600,0,2,1,0,2,2,2
1332720000,0,2,1,0,2,2,2
1332806400,0,2,1,0,2,2,2
1332892800,0,2,1,0,2,2,2
1332979200,0,2,1,0,2,2,2
1333065600,0,2,1,0,2,2,2
1333152000,0,2,1,0,2,2,2
1333238400,0,2,1,0,2,2,2
1333324800,0,2,1,0,2,2,2
1333411200,0,2,1,0,2,2,2
1333497600,0,2,1,0,2,2,2
1333584000,0,2,1,0,2,2,2
1333670400,0,2,1,0,2,2,2
1333756800,0,2,1,0,2,2,2
1333843200,0,2,1,0,2,2,2
1333929600,0,2,1,0,2,2,2
1334016000,0,2,1,0,2,2,2
1334102400,0,2,1,0,2,2,2
1334188800,0,2,1,0,2,2,2
1334275200,0,2,1,0,2,2,2
1334361600,0,2,1,0,2,2,2
1334448000,0,2,1,0,2,2,2
1334534400,0,2,1,0,2,2,2
1334620800,0,2,1,0,2,2,2
1334707200,0,2,1,0,2,2,2
1334793600,0,2,1,0,2,2,2
1334880000,0,2,1,0,2,2,2
1334966400,0,2,1,0,2,2,2
1335052800,0,2,1,0,2,2,2
1335139200,0,2,1,0,2,2,2
1335225600,0,2,1,0,2,2,2
1335312000,0,2,1,0,2,2,2
1335398400,0,2,1,0,2,2,2
1335484800,0,2,1,0,2,2,2
1335571200,0,2,1,0,2,2,2
1335657600,0,2,1,0,2,2,2
1335744000,0,2,1,0,2,2,2
1335830400,0,2,1,0,2,2,2
1335916800,0,2,1,0,2,2,2
1336003200,0,2,1,0,2,2,2
1336089600,0,2,1,0,2,2,2
1336176000,0,2,1,0,2,2,2
1336262400,0,2,1,0,2,2,2
1336348800,0,2,1,0,2,2,2
1336435200,0,2,1,0,2,2,2
1336521600,0,2,1,0,2,2,2
1336608000,0,2,1,0,2,2,2
1336694400,0,2,1,0,2,2,2
1336780800,0,2,1,0,2,2,2
1336867200,0,2,1,0,2,2,2
1336953600,0,2,1,0,2,2,2
1337040000,0,2,1,0,2,2,2
1337126400,0,2,1,0,2,2,2
