Date,Tsunami,Name,VEI,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Acoustic_signal_collected,Gravity_Description,Deaths,Injures,Damage,Houses_Destroyed,Volcano_Alert_Level,Aviation_Color_Code
1284508800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284595200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284681600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284768000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284854400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284940800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285027200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285113600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285200000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285286400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285372800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285459200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285545600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285632000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285718400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285804800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285891200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1285977600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286064000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286150400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286236800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286323200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286409600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286496000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286582400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286668800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286755200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286841600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1286928000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287014400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287100800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287187200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287273600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287360000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287446400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287532800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287619200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287705600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287792000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287878400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1287964800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288051200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288137600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288224000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288310400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288396800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288483200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288569600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288656000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288742400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288828800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1288915200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289001600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289088000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289174400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289260800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289347200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289433600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289520000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289606400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289692800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289779200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289865600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1289952000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1290038400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
